,Algorithm,Accuracy,Precision,Recall,F1-score,,Algorithm,Accuracy,Precision,Recall,F1-score
0,SimpleRNN,0.88,0.9,0.86,0.88,,LSTM+GRU,0.9,0.87,0.95,0.91
1,Stacked_LSTM,0.91,0.91,0.92,0.92,,LSTM+CNN,0.9,0.86,0.96,0.91
2,Stacked_BiLSTM,0.85,0.78,0.98,0.87,,GRU+CNN,0.92,0.9,0.95,0.92
3,Stacked_GRU,0.93,0.93,0.94,0.93,,LSTM+GRU+CNN,0.86,0.81,0.96,0.88
4,Stacked_BiGRU,0.91,0.88,0.96,0.92,,,,,,
5,CNN,0.88,0.94,0.81,0.87,,,,,,
6,LSTM+GRU,0.9,0.87,0.95,0.91,,,,,,
7,LSTM+CNN,0.9,0.86,0.96,0.91,,,,,,
8,GRU+CNN,0.92,0.9,0.95,0.92,,,,,,
9,LSTM+GRU+CNN,0.86,0.81,0.96,0.88,,,,,,
